data_date,option_ticker,size,price,trade_value,trade_value_bracket,sip_timestamp,conditions,correction,exchange,id,name,type,data_types,security,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-01-29,O:CRBG250718C00037000,17,1.3,2210.0,<$0.1M,1738162599001000000,209,0,313,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,106,18,21,61.078,90
2025-01-29,O:CRBG250718C00037000,12,1.3,1560.0000000000002,<$0.1M,1738162599001000000,209,0,303,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,106,18,21,61.078,90
2025-01-29,O:CRBG250718C00037000,18,1.3,2340.0,<$0.1M,1738162599001000000,209,0,315,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,106,18,21,61.078,90
2025-02-12,O:CRBG250718C00037000,27,0.95,2565.0,<$0.1M,1739377347763000000,209,0,300,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,150,16,21,61.078,80
2025-02-12,O:CRBG250718C00037000,32,0.94,3008.0,<$0.1M,1739377365309000000,227,0,302,227,Single Leg Auction Non ISO,sale_condition,trade,CRBG,2025-07-18,C,37.0,150,16,21,61.078,80
2025-02-12,O:CRBG250718C00037000,19,0.93,1767.0000000000002,<$0.1M,1739377348082000000,227,0,304,227,Single Leg Auction Non ISO,sale_condition,trade,CRBG,2025-07-18,C,37.0,150,16,21,61.078,80
2025-02-27,O:CRBG250718C00037000,65,1.22,7930.0,<$0.1M,1740672429423000000,227,0,312,227,Single Leg Auction Non ISO,sale_condition,trade,CRBG,2025-07-18,C,37.0,225,12,21,61.078,70
2025-03-03,O:CRBG250718C00037000,139,1.65,22935.0,<$0.1M,1741012938386000000,209,0,315,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,177,4,21,61.078,68
2025-03-04,O:CRBG250718C00037000,140,0.96,13440.0,<$0.1M,1741120480795000000,227,0,323,227,Single Leg Auction Non ISO,sale_condition,trade,CRBG,2025-07-18,C,37.0,148,5,21,61.078,67
2025-02-24,O:CRBG250718P00029000,87,1.1,9570.0,<$0.1M,1740421285692000000,209,0,325,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,124,10,21,61.078,73
2025-04-09,O:CRBG250718P00029000,65,2.9,18850.0,<$0.1M,1744226228075000000,209,0,319,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
2025-04-09,O:CRBG250718P00029000,71,2.9,20590.0,<$0.1M,1744226228075000000,209,0,323,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
2025-04-09,O:CRBG250718P00029000,78,2.9,22620.0,<$0.1M,1744226228076000000,209,0,301,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
2025-04-09,O:CRBG250718P00029000,34,2.9,9860.0,<$0.1M,1744226228092000000,209,0,304,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
2025-04-09,O:CRBG250718P00029000,34,2.9,9860.0,<$0.1M,1744226228092000000,209,0,302,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
2025-04-09,O:CRBG250718P00029000,35,2.9,10150.0,<$0.1M,1744226228092000000,209,0,302,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
2025-04-09,O:CRBG250718P00029000,112,2.9,32480.0,<$0.1M,1744226228075000000,209,0,309,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,P,29.0,566,36,21,61.078,41
