security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
INZY,Medical,Medical - Biomedical and Genetics,0.55,,,,3,5__0,5,3,0.0,8531.2,8761.6,8945.92,8987.39,8991.54,8991.95,8992.0
IONS,Medical,Medical - Drugs,0.55,,,,25,15__0,15,3,0.0,10880.0,34400.0,56488.2,61174.32,61642.93,61689.79,61694.48
IRD,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,5980.0,6020.0,6052.0,6059.2,6059.92,6059.99,6060.0
IRON,Medical,Medical - Biomedical and Genetics,0.55,,,,30,15__0,15,3,0.0,124000.0,198581.4,236279.56,238533.56,238758.96,238781.5,238783.75
ITGR,Medical,Medical - Instruments,0.55,6800.0,8. p75_trade_value,2.0,8,10__0,10,3,0.0,6920.0,7060.0,7172.0,7197.2,7199.72,7199.97,7200.0
ITOS,Medical,Medical - Biomedical and Genetics,0.55,,,,42,15__0,15,3,0.0,50000.0,51710.0,143673.0,149097.3,149639.73,149693.97,149699.4
IVVD,Medical,Medical - Biomedical and Genetics,0.55,,,,9,10__0,10,3,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
KALV,Medical,Medical - Drugs,0.55,74000.0,1. p999999_trade_value,1.0,13,10__0,10,3,0.0,34160.0,53600.0,69920.0,73592.0,73959.2,73995.92,73999.59
KNSA,Medical,Medical - Biomedical and Genetics,0.55,3400.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0
KOD,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,4630.0,4715.0,4783.0,4798.3,4799.83,4799.98,4800.0
KROS,Medical,Medical - Biomedical and Genetics,0.55,,,,25,15__0,15,3,0.0,10650.0,11270.0,17176.0,18817.6,18981.76,18998.18,18999.82
KURA,Medical,Medical - Biomedical and Genetics,0.55,,,,19,15__0,15,3,0.0,12069.0,16709.7,19335.54,19926.35,19985.44,19991.34,19991.93
KYMR,Medical,Medical - Biomedical and Genetics,0.55,,,,21,15__0,15,3,0.0,6160.0,7000.0,7416.0,7509.6,7518.96,7519.9,7519.99
KZIA,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__2,0,3,2.0,3885.0,3885.0,3885.0,3885.0,3885.0,3885.0,3885.0
LFCR,Medical,Medical - Biomedical and Genetics,0.55,3640.0,1. p999999_trade_value,1.0,2,5__0,5,3,0.0,3621.0,3630.5,3638.1,3639.81,3639.98,3640.0,3640.0
LFST,Medical,Medical - Outpatient and Home Healthcare,0.55,8560.0,8. p75_trade_value,2.0,6,10__2,10,3,2.0,76655.0,110702.5,137940.5,144069.05,144681.91,144743.19,144749.32
LFVN,Medical,Medical - Dental Supplies,0.55,,,,5,5__0,5,3,0.0,4452.8,4726.4,4945.28,4994.53,4999.45,4999.95,4999.99
LGND,Medical,Medical - Biomedical and Genetics,0.55,,,,6,10__0,10,3,0.0,6300.0,6950.0,7470.0,7587.0,7598.7,7599.87,7599.99
